sentence_index,section,onset,offset,word
141,1,532.23,534.61,我的建议看来有点儿使小王子反感
142,1,535.37,536.01,拴住它
143,1,536.55,537.52,多么奇怪的主意
144,1,538.79,540.92,如果你不拴住它它就到处跑
145,1,541.32,542.27,那么它会跑丢的
146,1,543.2,545.12,我的这位朋友又笑出了声
147,1,545.87,547.55,你想要它跑到哪里去呀
148,1,548.51,550.64,不管什么地方它一直往前跑
149,1,551.44,555.58,这时小王子郑重其事地说这没有什么关系
150,1,556.11,557.74,我那里很小很小
151,1,558.7,564.95,接着他略带伤感地又补充了一句一直朝前走也不会走出多远
152,2,0.04,6.22,我还了解到另一件重要的事儿就是他老家所在的那个星球比一座房子大不了多少
153,2,7.07,8.82,这倒并没有使我感到太奇怪
154,2,9.5,16.15,我知道除地球木星火星金星这几个有名称的大行星以外还有成百个别的星球
155,2,16.71,20.39,它们有的小得很就是用望远镜也很难看见
156,2,21.5,25.85,当一个天文学者发现了其中一个星星他就给它编上一个号码
157,2,26.49,28.83,例如把它称作325小行星
158,2,29.54,34.96,我有重要的根据认为小王子所来自的那个星球是小行星B612
159,2,35.65,38.85,这颗小行星仅仅被用望远镜看见过一次
160,2,39.62,42.34,在1909年被一个土耳其天文学家
161,2,42.95,49.41,当时他曾经在一次国际天文学家代表大会上对他的发现做了重要的论证
162,2,50.07,53.93,但由于他所穿衣服的缘故那时没有人相信他
163,2,54.6,56.39,那些大人们就是这样
164,2,57.05,67.13,幸好土耳其的一个独裁者为了小行星B612的声誉迫使他的人民都要穿欧式服装否则就处以死刑
165,2,68.11,73.53,1920年这位天文学家穿了一身儿非常漂亮的服装重新做了一次论证
166,2,74.25,76.61,这一次所有的人都同意他的看法
167,2,77.43,85.16,我给你们讲关于小行星B612的这些细节并且告诉你们它的编号这是由于这些大人的缘故
168,2,85.99,90.83,当你对大人们讲起你的一个新朋友时他们从来不向你提出实质性的问题
169,2,91.27,94.16,他们从来不讲他说话声音如何啊
170,2,94.73,96.16,他喜爱什么样的游戏啊
171,2,96.72,98.28,他是否收集蝴蝶标本呀
172,2,99.08,101.5,他们却问你他多大年纪呀
173,2,101.95,102.68,弟兄几个呀
174,2,103.03,103.95,体重多少呀
175,2,104.52,105.8,他父亲挣多少钱呀
176,2,106.87,109.18,他们以为这样才算了解朋友
177,2,110.0,114.95,如果你对大人们说我看到一栋用玫瑰色的砖盖成的漂亮的房子
178,2,115.59,118.91,它的窗户上有天竺葵屋顶上还有鸽子
179,2,119.64,122.18,他们怎么也想象不出这种房子有多么好
180,2,122.97,126.59,必须对他们说我看见了一栋价值十万法郎的房子
181,2,127.03,130.04,那么他们就惊叫道多么漂亮的房子啊
182,2,130.96,135.4,要是你对他们说小王子存在的证据就是他非常漂亮
183,2,135.99,137.69,他笑着想要一只羊
184,2,138.32,139.5,他想要一只小羊
185,2,140.01,141.15,这就证明他的存在
186,2,142.1,144.16,但是告诉他们有什么好处呢
187,2,144.73,147.61,他们一定会耸耸肩膀把你当作孩子看待
188,2,148.49,154.11,但是如果你对他们说小王子来自的星球就是小行星B612
189,2,154.68,156.07,那么他们就十分信服
190,2,156.64,159.16,他们就不会提出一大堆问题来和你纠缠
191,2,159.95,160.95,他们就是这样的
192,2,161.44,165.32,小孩子们对大人们应该宽厚些不要埋怨他们
193,2,166.42,171.31,当然对我们懂得生活的人来说我们才不在乎那些编号呢
194,2,171.82,174.93,我真愿意像讲神话那样来开始这个故事
195,2,175.64,183.07,我真想这样说从前呀有一个小王子他住在一个和他身体差不多大的星球上
196,2,183.7,185.08,他希望有一个朋友
197,2,186.22,189.57,对懂得生活的人来说这样说就显得真实
198,2,190.97,193.08,我可不喜欢人们轻率地读我的书
199,2,193.89,196.62,我在讲述这些往事时心情是很难过的
200,2,197.43,200.45,我的朋友带着他的小羊已经离去六年了
201,2,201.42,206.26,我之所以在这里尽力地把他描写出来就是为了不要忘记他
202,2,207.29,210.28,忘记一个朋友这太叫人悲伤了
203,2,211.3,213.68,并不是所有的人都有过一个朋友
204,2,214.66,219.62,再说我也可能变成那些大人那样只对数字感兴趣
205,2,221.11,224.55,也正是为了这个缘故我买了一盒颜料和一些铅笔
206,2,225.17,236.54,像我这样年纪的人而且除了六岁时画过闭着肚皮的和开着肚皮的巨蟒外别的什么也没有尝试过现在重新再来画画真费劲啊
207,2,237.66,241.07,当然我一定要把这些画尽量地画得逼真
208,2,241.88,243.58,但我自己也没有把握
209,2,244.43,245.56,一张画得还可以
210,2,246.06,247.62,另一张就不像了
211,2,248.23,250.87,还有身材大小我画得有点儿不准确
212,2,251.79,254.76,在这个地方小王子画得太大了些
213,2,255.4,257.51,另一个地方又画得太小了些
214,2,258.31,260.5,对他衣服的颜色我也拿不准
215,2,261.58,266.19,于是我就摸索着这么试试那么改改画个大概齐
216,2,267.08,269.86,我很可能在某些重要的细节上画错了
217,2,270.63,272.54,这就得请大家原谅我了
218,2,273.54,276.56,因为我的这个朋友从来也不加说明解释
219,2,277.27,278.5,他认为我同他一样
220,2,279.62,283.38,可是很遗憾我却不能透过盒子看见小羊
221,2,284.23,286.16,我大概有点儿和大人们差不多
222,2,287.0,289.05,我一定是变老了
223,2,291.03,295.8,每天我都了解到一些关于小王子的星球他的出走和旅行等事情
224,2,296.56,299.55,这些都是偶然从各种反应中慢慢得到的
225,2,300.4,305.48,就这样第三天我就了解到关于猴面包树的悲剧
226,2,306.43,308.51,这一次又是因为羊的事情
227,2,309.15,312.18,突然小王子好像是非常担心地问我道
228,2,313.05,315.5,羊吃小灌木这是真的吗
229,2,316.4,318.01,是的是真的
230,2,318.77,321.17,啊我真高兴
231,2,321.83,325.65,我不明白羊吃小灌木这件事儿为什么如此重要
232,2,326.42,331.37,可小王子又说道因此它们也吃猴面包树啰
233,2,332.63,338.32,我对小王子说猴面包树可不是小灌木而是像教堂那么大的大树
234,2,338.92,342.44,即便是带回一群大象也啃不了一棵猴面包树
235,2,343.52,346.12,一群大象这种想法使小王子发笑
236,2,346.94,350.11,那可得把这些大象一只叠一只地磊起来
237,2,350.7,356.07,他很有见识地说猴面包树在长大之前开始也是小小的
238,2,356.95,358.61,那是不错我说
239,2,359.3,362.47,可是为什么你想叫你的羊去吃小猴面包树呢
240,2,363.22,366.4,他回答我道唉这还用说
241,2,366.95,368.94,似乎这是不言而喻的
242,2,370.01,373.42,可是我自己要费很大的心劲儿才能弄懂这个问题
243,2,374.08,384.31,原来在小王子的星球上就像其他所有星球上一样有好草和坏草因此也就有益草的草籽和毒草的草籽
244,2,384.95,386.72,可是草籽是看不见的
245,2,387.43,391.63,它们沉睡在泥土里直到其中的一粒忽然想要苏醒过来
246,2,392.37,398.1,于是它就伸展开身子开始腼腆地朝着太阳长出一棵秀丽可爱的小嫩苗
247,2,398.89,403.22,如果是小萝卜或是玫瑰的嫩苗就让它去自由地生长
248,2,403.77,408.19,如果是一棵坏苗一旦被辨认出来就应该马上把它拔掉
249,2,409.21,412.45,因为在小王子的星球上有些非常可怕的种子
250,2,413.13,415.06,这就是猴面包树的种子
251,2,415.74,418.75,在那里的泥土里这种种子多得成灾
252,2,419.24,424.21,而一棵猴面包树苗假如你拔得太迟就再也无法把它清除掉
253,2,424.95,426.5,它就会盘踞整个星球
254,2,427.05,428.88,它的树根能把星球钻透
255,2,429.53,434.62,如果星球很小而猴面包树很多它就把整个星球搞得支离破碎
256,2,435.72,437.49,这是个纪律问题
257,2,438.42,440.07,小王子后来向我解释道
258,2,440.93,444.75,当你早上梳洗完毕以后必须仔细地给星球梳洗
259,2,445.23,448.22,必须规定自己按时去拔掉猴面包树苗
260,2,448.89,455.36,这种树苗小的时候与玫瑰苗差不多一旦可以把它们区别开的时候就要把它拔掉
261,2,456.13,461.03,这是一件非常乏味的工作但很容易小王子说
262,2,461.78,468.99,有一天他劝我用心地画一幅漂亮的图画好叫我家乡的孩子们对这件事有一个深刻的印象
263,2,469.83,476.1,他还对我说如果将来有一天他们出外旅行这对他们是很有用的
264,2,476.8,487.21,有时候人们把自己的工作推到以后去做并没有什么妨害但要遇到拔猴面包树苗这种事那就非造成大灾难不可
265,2,487.95,491.06,我遇到过一个星球上面住着一个懒家伙
266,2,491.58,493.05,他放过了三棵小树苗
267,2,494.26,498.34,于是根据小王子的说明我把这个星球画了下来
268,2,499.23,501.97,我从来不大愿意以道学家的口吻来说话
269,2,502.68,505.41,可是猴面包树的危险大家都不大了解
270,2,505.95,509.32,对迷失在小行星上的人来说危险性非常之大
271,2,510.03,514.23,因此这一回我贸然打破了我的这种不喜欢教训人的惯例
272,2,515.27,519.15,孩子们我说要当心那些猴面包树呀
273,2,520.16,531.39,为了叫我的朋友们警惕这种危险他们同我一样长期以来和这种危险接触却没有意识到它的危险性我花了很大的功夫画了这幅画
274,2,531.93,534.59,我提出的这个教训意义是很重大的
275,2,535.24,536.99,花点儿功夫是很值得的
276,2,537.86,542.64,你们也许要问为什么这本书中别的画都没有这副画那么壮观呢
277,2,543.32,545.67,回答很简单我也试了
278,2,546.32,550.04,别的画我也曾经试图画得好些却没成功
279,2,550.58,554.77,而当我画猴面包树时有一种急切的心情在激励着我
280,2,556.72,561.96,啊小王子就这样我逐渐懂得了你那忧郁的生活
281,2,562.82,568.24,过去相当长的时间里你唯一的乐趣就是观赏那夕阳西下的温柔晚景
282,2,569.11,572.39,这个新的细节是我在第四天早晨知道的
283,2,573.27,576.0,你当时对我说道我喜欢看日落
284,2,576.78,578.62,我们去看一回日落吧
285,2,579.66,582.47,可是得等着我说
286,2,583.45,583.97,等什么
287,2,584.96,587.77,等太阳落山我们必须等到那个时候
288,2,588.71,590.9,开始你显得很惊奇的样子
289,2,591.49,593.0,随后你笑自己的糊涂
290,2,593.71,597.47,你对我说我总以为是在我的家乡呢
291,2,598.64,604.61,确实大家都知道在美国是正午时分在法国正夕阳西下
292,2,605.27,608.03,只要在一分钟内赶到法国就可看到日落
293,2,608.81,610.98,可惜法国是那么的遥远
294,2,611.97,616.11,而在你那样的小行星上你只要把你的椅子挪动几步就行了
295,2,616.67,620.23,这样你便可随时看到你想看的夕阳余晖
296,2,621.35,625.92,一天我看见过四十三次日落你对我说
297,2,626.66,633.55,过一会儿你又说你知道当人们感到非常苦闷时总是喜欢日落的
298,2,634.8,639.51,你怎么会这么苦闷我问一天四十三次
299,2,640.58,642.66,但是小王子没有回答
300,3,0.0,5.02,第五天还是羊的事儿把小王子的生活秘密向我揭开了
301,3,5.65,11.01,好像默默地思索了很长时间以后得出了什么结果一样他突然没头没脑地问我
302,3,11.67,15.18,羊要是吃小灌木它也要吃花啰
303,3,16.23,19.21,羊它碰到什么吃什么我回答
304,3,20.11,21.27,连有刺儿的花也吃吗
305,3,21.97,22.84,有刺的也吃
306,3,23.48,25.26,那么刺有什么用呢
307,3,26.33,27.87,我不知道该怎么回答
308,3,28.53,32.37,那会儿我正忙着要从发动机上卸下一颗拧得太紧的螺丝
309,3,33.1,34.84,我发现机器故障似乎很严重
310,3,35.34,36.27,饮水也快完了
311,3,37.01,39.52,担心可能发生最坏的情况心里很着急
312,3,40.31,41.75,那么刺有什么用呢
313,3,42.72,45.15,小王子一旦提出了问题从来不会放过
314,3,45.62,47.5,这个该死的螺丝使我很恼火
315,3,47.85,49.79,我于是就随便回答了他一句
316,3,50.35,51.91,刺么什么用都没有
317,3,52.32,53.72,这纯粹是花的恶劣表现
318,3,54.6,54.85,噢
319,3,56.0,58.95,可是他沉默了一会儿之后怀着不满的心情冲我说
320,3,59.7,60.32,我不信
321,3,60.95,61.75,花是弱小的
322,3,62.14,62.99,它们是淳朴的
323,3,63.5,64.99,它们总是设法保护自己
324,3,65.47,68.15,以为有了刺就可以显出自己的厉害
325,3,69.26,69.98,我默不作声
326,3,70.52,74.37,我当时想的如果这个螺丝再和我作对我就一锤子敲掉它
327,3,75.01,76.98,小王子又来打搅我的思绪了
328,3,77.3,78.3,你却认为花
329,3,78.55,82.31,算了吧我喊道算了吧算了吧
330,3,83.02,83.85,我什么也不认为
331,3,84.29,85.2,我是随便回答你的
332,3,85.56,86.58,我可有正经事要做
333,3,87.32,88.29,他惊讶地看着我
334,3,89.13,89.91,正经事
335,3,90.72,96.22,他瞅着我手拿锤子手指沾满了油污伏在一个在他看来丑不可言的机件上
336,3,96.98,99.51,你说话就和那些大人一样
337,3,100.58,102.41,这话使我有点儿难堪
338,3,103.2,104.67,可是他又尖刻无情地说道
339,3,105.26,106.23,你什么都分不清
340,3,106.67,107.83,你把什么都混在一起
341,3,108.87,109.96,他着实非常恼火
342,3,110.33,113.37,摇动着脑袋金黄色的头发随风颤动着
343,3,114.39,117.27,我到过一个星球上面住着一个红脸先生
344,3,117.74,119.11,他从来没闻过一朵花
345,3,119.53,121.42,他从来没有看过一颗星星
346,3,122.02,123.43,他什么人也没有喜欢过
347,3,123.9,126.27,除了算账以外他什么也没有做过
348,3,126.89,128.72,他整天同你一样老是说
349,3,129.15,131.47,我有正经事我是个严肃的人
350,3,132.67,133.84,这使他傲气十足
351,3,134.21,135.31,他简直不像是个人
352,3,135.64,136.35,他是个蘑菇
353,3,137.11,137.59,是个什么
354,3,138.23,139.07,是个蘑菇
355,3,140.13,142.43,小王子当时气得脸色发白
356,3,143.68,146.43,几百万年以来花儿都在制造着刺
357,3,146.8,149.26,几百万年以来羊仍然在吃花
358,3,149.74,155.22,要搞清楚为什么花儿费那么大劲儿给自己制造没有什么用的刺这难道不是正经事儿
359,3,155.87,157.78,难道羊和花之间的战争不重要
360,3,158.49,161.62,这难道不比那个大胖子红脸先生的账目更重要
361,3,162.47,164.47,如果我认识一朵人世间唯一的花
362,3,164.99,167.6,只有我的星球上有它别的地方都不存在
363,3,168.14,171.23,而一只小羊糊里糊涂就这样把它一下子毁掉了
364,3,171.66,172.46,这难道不重要
365,3,173.95,176.94,他的脸气得发红然后又接着说道
366,3,177.98,186.27,如果有人爱上了在这亿万颗星星中独一无二的一株花当他看着这些星星的时候这就足以使他感到幸福
367,3,186.82,191.27,他可以自言自语地说我的那朵花就在其中的一颗星星上
368,3,192.18,197.81,但是如果羊吃掉了这朵花对他来说好像所有的星星一下子全都熄灭了一样
369,3,198.48,200.03,这难道也不重要吗
370,3,201.42,202.63,他无法再说下去了
371,3,203.46,204.57,突然泣不成声
372,3,205.84,206.74,夜幕已经降临
373,3,207.36,208.39,我放下手中的工具
374,3,208.95,213.52,我把锤子螺钉饥渴死亡全都抛在脑后
375,3,214.4,221.35,在一颗星球上在一颗行星上在我的行星上在地球上有一个小王子需要安慰
376,3,222.25,223.25,我把他抱在怀里
377,3,223.67,225.05,摇着他对他说
378,3,225.93,227.28,你爱的那朵花没有危险
379,3,227.92,229.65,我给你的小羊画一个罩子
380,3,230.28,232.04,我给你的花画一副盔甲
381,3,232.87,233.43,我
382,3,234.46,235.83,我也不太知道该说些什么
383,3,236.46,237.57,我觉得自己太笨拙
384,3,238.09,240.3,我不知道怎样才能达到他的境界
385,3,240.94,242.46,怎样才能再进入他的境界
386,3,243.55,246.91,唉泪水的世界是多么神秘啊
387,3,247.9,250.17,很快我就进一步了解了这朵花儿
388,3,250.89,256.07,在小王子的星球上过去一直都生长着一些只有一层花瓣的很简单的花
389,3,256.83,259.09,这些花非常小一点儿也不占地方
390,3,259.56,261.1,从来也不会去打搅任何人
391,3,261.82,265.27,它们早晨在草丛中开放晚上就凋谢了
392,3,266.23,269.84,不知从哪里来了一颗种子忽然一天这种子发了芽
393,3,270.46,273.6,小王子特别仔细地监视着这颗与众不同的小苗
394,3,274.11,276.63,这玩意儿说不定是一种新的猴面包树
395,3,277.37,282.03,但是这小苗不久就不再长了而且开始孕育着一个花朵
396,3,282.86,289.77,看到在这棵苗上长出了一个很大很大的花蕾小王子感觉到从这个花苞中一定会出现一个奇迹
397,3,290.69,295.28,然而这朵花儿藏在她那绿茵茵的房间中用了很长的时间来打扮自己
398,3,296.07,298.11,她精心选择着她将来的颜色
399,3,298.64,299.9,慢慢腾腾地装饰着
400,3,300.4,302.17,一片片地搭配着她的花瓣
401,3,302.95,305.43,她不愿像虞美人那样一出世就满脸皱纹
402,3,306.13,309.23,她要让自己带着光艳夺目的丽姿来到世间
403,3,309.98,311.95,是的她是非常爱俏的
404,3,312.52,315.46,她用好些好些日子天仙般地梳妆打扮
405,3,316.35,320.68,然后在一天的早晨恰好在太阳升起的时候她开放了
406,3,321.29,327.13,她已经精细地做了那么长的准备工作却打着哈欠说道我刚刚睡醒
407,3,327.44,328.13,真对不起
408,3,328.61,330.65,瞧我的头发还是乱蓬蓬的
409,3,331.19,334.41,小王子这时再也控制不住自己的爱慕心情
410,3,335.27,336.87,你是多么美丽呀
411,3,337.61,340.08,花儿悠然自得地说是吧
412,3,340.59,342.52,我是与太阳同时出生的
413,3,343.49,345.68,小王子看出了这花儿不太谦虚
414,3,346.29,347.73,可是她确实丽姿动人
415,3,348.36,352.44,她随后又说道现在该是吃早点的时候了吧
416,3,353.03,355.14,请你也想着给我准备一点
417,3,355.97,361.53,小王子很有些不好意思于是就拿着喷壶打来了一壶清清的凉水
418,3,362.02,362.95,他浇灌着花儿
419,3,363.74,368.99,于是就这样这朵花儿就以她那有点敏感多疑的虚荣心折磨着小王子
420,3,369.66,373.64,例如有一天她向小王子讲起她身上长的四根刺
421,3,374.46,376.72,老虎让它张着爪子来吧
422,3,377.48,381.75,小王子顶了她一句在我这个星球上没有老虎
423,3,382.18,384.31,而且老虎是不会吃草的
424,3,384.84,387.57,花儿轻声说道我并不是草
425,3,388.27,389.05,真对不起
426,3,389.84,391.21,我并不怕什么老虎
427,3,391.69,392.75,可我讨厌穿堂风
428,3,393.31,395.54,我猜你没有为我准备个屏风
429,3,396.05,402.47,小王子思忖着讨厌穿堂风这对一株植物来说真不走运
430,3,403.2,405.19,这朵花真不大好伺候
431,3,406.14,408.78,晚上你得把我放到一个玻璃罩子中
432,3,409.27,410.25,你这地方太冷
433,3,410.75,412.2,我原来住的那个地方
434,3,413.27,414.43,但她没有说下去
435,3,415.05,416.44,她来的时候是粒种子
436,3,416.98,418.42,她哪里见过什么别的世界
437,3,418.9,423.5,她叫人发现她是在凑一个如此不太高明的谎话她有点儿羞怒
438,3,423.81,424.79,咳嗽了两三声
439,3,425.42,428.29,她的这一招是要小王子处于有过失的地位
440,3,428.87,430.58,她说道屏风呢
441,3,431.27,434.13,我正准备去拿可你刚才说的是
442,3,434.84,440.09,于是花儿放开嗓门儿咳嗽了几声依然要使小王子后悔自己的过失
443,3,440.69,447.18,尽管小王子本来诚心诚意地喜欢这朵花可是这一来却使他马上对她产生了怀疑
444,3,447.97,452.35,小王子对一些无关紧要的话看得太认真结果使自己很苦恼
445,3,453.15,456.75,有一天他告诉我说我不该听信她的话
446,3,457.36,458.89,绝不该听信那些花儿的话
447,3,459.6,461.32,看看花闻闻她就得了
448,3,461.96,466.32,我的那朵花儿使我的星球芳香四溢可我不会享受她
